Block,Sub Item,Tstat5 Legacy,Tstat6,Bytes,INTs,Multipler,Length info column,Operation info,Register and Description,XML Tag,"Keyword list(case insensitive)"
OUTTABLE,,148,298,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_COOL3 ,,
OUTTABLE,,149,299,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_HEAT1,,
OUTTABLE,,150,300,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_HEAT2,,
OUTTABLE,,151,301,1,int8,1,Low byte,W/R,FAN1_OPERATION_TABLE_HEAT3 ,,
OUTTABLE,,152,302,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_COAST ,,
OUTTABLE,,153,303,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_COOL1,,
OUTTABLE,,154,304,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_COOL2 ,,
OUTTABLE,,155,305,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_COOL3 ,,
OUTTABLE,,156,306,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_HEAT1 ,,
OUTTABLE,,157,307,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_HEAT2 ,,
OUTTABLE,,158,308,1,int8,1,Low byte,W/R,FAN2_OPERATION_TABLE_HEAT3 ,,
OUTTABLE,,159,309,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_COAST,,
OUTTABLE,,160,310,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_COOL1 ,,
OUTTABLE,,161,311,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_COOL2 ,,
OUTTABLE,,162,312,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_COOL3,,
OUTTABLE,,163,313,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_HEAT1 ,,
OUTTABLE,,164,314,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_HEAT2 ,,
OUTTABLE,,165,315,1,int8,1,Low byte,W/R,FAN3_OPERATION_TABLE_HEAT3,,
OUTTABLE,,166,316,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_COAST,,
OUTTABLE,,167,317,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_COOL1 ,,
OUTTABLE,,168,318,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_COOL2 ,,
OUTTABLE,,169,319,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_COOL3,,
OUTTABLE,,170,320,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_HEAT1 ,,
OUTTABLE,,171,321,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_HEAT2 ,,
OUTTABLE,,172,322,1,int8,1,Low byte,W/R,FANAUT_OPERATION_TABLE_HEAT3,,
OUTTABLE,,173,323,1,int8,1,Low byte,W/R,"VALVE_OPER_TABLE_COAST, Analog output state for each of the 7 modes of operation",,
OUTTABLE,,174,324,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_COOLING1,,
OUTTABLE,,175,325,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_COOLING2,,
OUTTABLE,,176,326,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_COOLING3,,
OUTTABLE,,177,327,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_HEATING1,,
OUTTABLE,,178,328,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_HEATING2,,
OUTTABLE,,179,329,1,int8,1,Low byte,W/R,VALVE_OPER_TABLE_HEATING3,,
OUTTABLE,,268,330,1,int8,1,Low byte,W/R,Number of Universal Heating Stages (Max heat+cool = 6),,
OUTTABLE,,269,331,1,int8,1,Low byte,W/R,Number of Universal Cooling Stages (Max heat + Cool = 6) ,,
OUTTABLE,,276,332,1,int8,1,Low byte,W/R,Number of Heating Stages in Original Table - (Maximum # of total heating and cooling states is 6),,
OUTTABLE,,277,333,1,int8,1,Low byte,W/R,Number of Cooling Stages in Original Table - (Maximum # of total heating and cooling states is 6),,
OUTTABLE,,1,334,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE COASTING ,,
OUTTABLE,,2,335,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE COOLING1 ,,
OUTTABLE,,3,336,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE COOLING2,,
OUTTABLE,,4,337,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE COOLING3,,
OUTTABLE,,5,338,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE HEATING1,,
OUTTABLE,,6,339,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE HEATING2 ,,
OUTTABLE,,7,340,1,int8,1,Low byte,W/R,PID1 VALVE OFF TABLE HEATING3,,
,,,,,,,,,,,
SETPOINT,,338,341,1,int8,1,Low byte,W/R,Default occupied setpoint.,,
SETPOINT,,339,342,1,int8,,Low byte,,spare,,
SETPOINT,,417,343,1,int8,,Low byte,,spare,,
SETPOINT,,,344,1,int8,,Low byte,,spare,,
SETPOINT,,119,345,1,int8,0.1(?),Low byte,W/R,(Day)Occupied   setpoint ,temperature_set_point,Occupied setpoint
SETPOINT,,120,346,1,int8,0.1(?),Low byte,W/R,"(Day)Occupied cooling setpoint dead band  , offset from setpoint for cooling to begin.  Units are 0.1 deg.",,
SETPOINT,,135,347,1,int8,0.1(?),Low byte,W/R,"(Day)Occupied heating setpoint dead band  , offset from setpoint for heating to begin.  Units are 0.1 deg.",,
SETPOINT,,136,348,2,int16,0.1(?),Full,W/R,(Day)Occupied  cooling setpoint (day cooling setpoint),,
SETPOINT,,,349,2,int16,0.1(?),Full,W/R,(Day)Occupied  heating setpoint (day heating setpoint),,
SETPOINT,,125,350,1,int8,0.1(?),Low byte,W/R,(Night)Unoccupied  setpoin.,,
SETPOINT,,123,351,1,int8,,Low byte,,spare,,
SETPOINT,,124,352,1,int8,0.1(?),Low byte,W/R,"(Night)Unoccupied heating setpoint dead band , heating deadband for the night (OFF) mode. Units of 1 deg.",,
SETPOINT,,182,353,1,int8,0.1(?),Low byte,W/R,"(Night)Unoccupied cooling setpoint dead band , cooling deadband for the night (OFF) mode. Units of 1 deg.",,
SETPOINT,,183,354,2,int16,10(?),Full,W/R,(Night)Unoccupied heating setpoint,,
,,,355,2,int16,10(?),Full,W/R,(Night)Unoccupied cooling setpoint,,
,,,356,2,int16,0.1(?),Full,W/R,(TBD)Window interlock cooling setpoint,,
,,,357,2,int16,0.1(?),Full,W/R,(TBD)Window interlock heating setpoint,,
SETPOINT,,275,358,2,int16,0.1(?),Full,W/R,PID2 Unoccupied (OFF) Setpoint,,
SETPOINT,,246,359,2,int16,0.1(?),Full,W/R,PID2 Occupied Setpoint,,
SETPOINT,,242,360,2,int16,0.1(?),Full,W/R,PID2 Heating Deadband  TBD: can write to either deadband or to setpoint,,
SETPOINT,,243,361,2,int16,0.1(?),Full,W/R,"PID2 Cooling Deadband,  TBD: can write to either deadband or to setpoint",,
SETPOINT,,,362,2,int16,0.1(?),Full,W/R,economy mode cooling setpoint,,
SETPOINT,,,363,2,int16,0.1(?),Full,W/R,economy mode heating setpoint,,
SETPOINT,,126,364,1,int8,10(?),Low byte,W/R,"POWERUP_SETPOINT , setpoint on power up",,
SETPOINT,,131,365,1,int8,10(?),Low byte,W/R,"MAX_SETPOINT, Setpoint high, the highest setpoint a user will be able to set from the keypad.",,
SETPOINT,,132,366,1,int8,10(?),Low byte,W/R,"MIN_SETPOINT, Setpoint Low, the lowest setpoint a user will be able to set from the keypad. ",,
SETPOINT,,373,367,,,,,,"reserved,MAX_SETPOINT2",,
SETPOINT,,374,368,,,,,,"reserved,MIN_SETPOINT2",,
SETPOINT,,375,369,,,,,,"reserved,MAX_SETPOINT3",,
SETPOINT,,376,370,,,,,,"reserved,MIN_SETPOINT3",,
SETPOINT,,377,371,,,,,,"reserved,MAX_SETPOINT4",,
SETPOINT,,378,372,,,,,,"reserved,MIN_SETPOINT4",,
SETPOINT,,293,373,1,int8,0.1(?),Low byte,W/R,"Setpoint increment on the display each time the user hits the up/down buttons. Units are 0.1Deg, 10 = 1Deg and so on. ",,
SETPOINT,,295,374,1,int8,,Low byte,W/R,"Freeze protect setpoint. If the ambient temperature less than the setpoint,
the heating valve will open some time the Delay to off register set .",,
SETPOINT,,341,375,,,,,,"reserved, wall setpoint",,
SETPOINT,,342,376,,,,,,"reserved,ceiling setpoint",,
SETPOINT,,343,377,,,,,,"reserved,average setpoint",,
SETPOINT,,344,378,,,,,,"reserved,unoccupied heating",,
SETPOINT,,345,379,,,,,,"reserved,unoccupied cooling",,
SETPOINT,,346,380,,,,,,"reserved,humidity setpoint",,
SETPOINT,,347,381,,,,,,"reserved,cuurent1 setpoint",,
,,,,,,,,,,,
PID,,111,382,1,int8,1,Low byte,W/R,"Sensor to be used for the PID calculations,  1= external sensor analog input 1 , 2 = internal thermistor, 3 = average the internal thermistor and analog input1",,
PID,,241,383,2,int16,1,Full,W/R,"Universal PID input select, 0=none, 1=analog_in1, 2=analog_in2, 3= humidity  4= co2",,
PID,,104,384,2,int16,1,Full,R,"PID1, current PI calculation for PID number 1  (PID2 is in register 240)",,
PID,,114,385,1,int8,0.1,Low byte,R,"COOLING PTERM , proportional term for PI calculation",,
PID,,115,386,1,int8,0.1,Low byte,W/R,COOLING ITEM,,
PID,,244,387,2,int16,0.1,Full,W/R,PID2 P term,,
PID,,245,388,2,int16,0.1,Full,W/R,PID2 I term,,
PID,,270,389,1,int8,1,Low byte,R,"PID2, the current value of PID number 2",,
PID,,271,390,2,int16,1,Full,W/R,PID1 Units High byte - Upper 2 bytes of the PID1 units in ASCII,,
PID,,272,391,2,int16,1,Full,W/R,PID1 Units Low byte - Lower 2 bytes of the PID1 units in ASCII,,
PID,,273,392,2,int16,1,Full,W/R,PID2 Units High byte - Upper 2 bytes of the PID2 units in ASCII,,
PID,,274,393,2,int16,1,Full,W/R,PID2 Units Low byte - Lower 2 bytes of the PID2 units in ASCII,,
PID,,278,394,1,int8,1,Low byte,R,"PID2 heating or cooling state derived from PID2 register 240, 0=coasting, 1=cooling1, 2=cooling2, 3=cooling3, 4=heating1, 5=heating2, 6=heating3, 14=cooling4, 15=cooling5, 16=cooling6, 17=heating4, 18=heating5, 19=heating6.",,
,,,,,,,,,,,
UI,,128,395,1,int8,1,Low byte,W/R(Reboot after write),"KEYPAD_SELECT , variable to select various keypad arrangements. 
Refer to PAd description in Table 1: Advanced Menu Items",,
,,,,,,,,,"Number of buttons on the keypad 
The keypad can have up to six buttons. The setting is not normally adjusted in the field. Care should be taken to coordinate with the settings in register 106, the Heat / Cool changeover parameter
128=0 , two buttons, for adjusting the setpoint.
128=1 , 4 buttons, lower pair for the mode and upper pair for the setpoint. 
128=2 , 6 button keypad, with heat cool manual selection. Lower pair for the mode, next pair for the setpoint and upper pair for the heat or cool mode. 
128=3 , 6 button keypad, with separate heating and cooling setpoints. Lower pair for the mode, next pair for the cooling setpoint and uppermost pair for the heating setpoint.",,
UI,,133,396,1,int8,1,Low byte,W/R,"SPECIAL_MENU_LOCK, Special menu lockout via keypad, serial port only, 
0=Full Menu, 1=Menu Disabled, 2=Typical small menu system, 3 = The user can adjust the setpoint in menu mode, 4 = Partial  menu enabled

When the LOC parameter isset to 1 the keypad will be locked out from all menu operations. The normal operation of the keypad is not affected; the fan and setpoint buttons work as usual.

When the LOC parameter is set to 2 the keypad will be locked out from partial menu operations allowing maintenance personnel to access some of the less critical menu parameters while maintaining a LOC on functions reserved for the primary administrator. This option allowsaccess to calibration of the internal and external temperature sensor (CAL and CAE) and the override time parameter (ORT).

LOC = 3,The user can not do anything from keypad except enter menu mode.In menu mode,the user can set setpoint ,fan speed,calibration and override timer.
When the menu system is locked out, the only way to adjust the tstat parameters is through the network port or through the communications jack at the bottom of the tstat. The parameter can be set back to 0 only though the communications ports as well

LOC = 4,User can adjust setpoint and fan speed from keypad,and enter menu to operate part of menu,include CAL,pterm,iterm,SOP,cooling deadband,heating deadband,C/F units and factory default.",,
UI,,203,397,1,int8,1,Low byte,W/R,spare,,
UI,,,398,2,int16,1,Full,W/R(TBD),ICON TABLE,,
,,,,,,,,,Set when certain icons are on/off,,
,,,,,,,,,"ICON1 : TBD list the icons here, one for Tstat6 and one for Ttsat7",,
UI,,,398_0,,,,,,(TBD)day icon,,
UI,,,398_1,,,,,,(TBD)night icon,,
UI,,,398_2,,,,,,(TBD)heating icon,,
UI,,,398_3,,,,,,(TBD)cooling icon ,,
UI,,,398_4,,,,,,(TBD)fan icon,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
UI,,294,399,1,int8,1,Low byte,R,Last key  pressed counter. Minutes since the used last pressed a key. ,,
UI,,304,400,1,int8,1,Low byte,R,"Keypad encoded value. Last keypress, READ ONLY",,
UI,,305,401,1,int8,1,Low byte,W/R,"LED hundreds digit, , can drive the LEDs manually when the display register 381 is set to manual (5) ",,
UI,,306,402,1,int8,1,Low byte,,"LED tens digit code, can drive the LEDs manually when the display register 381 is set to manual (5) ",,
,,306,402,1,int8,1,Low byte,W/R,"LED tens digit, , can drive the LEDs manually when the display register 381 is set to manual (5) ",,
UI,,307,403,1,int8,1,Low byte,W/R,"LED ones digit code, can drive the LEDs manually when the display register 381 is set to manual (5) ",,
UI,,308,404,1,int8,1,Low byte,W/R,"LED discrete status symbols, can drive the LEDs manually when the display register 381 is set to manual (5) ",,
UI,,318,405,1,int8,1,Low byte,W/R,"Rouding display. 0 = round the display to the nearest digit; 1 = round the display to the nearest 1/10 unit; 
5 = round the display to the nearest 1/2 unit. 2,3,4 reserved.",,
UI,,319,406,1,int8,1,Low byte,W/R,"The minimum address which the device can accept, use this to limit addresses to a certain defined band. ",,
UI,,320,407,1,int8,1,Low byte,W/R,"The maximum device address can  be set. The device address should between min and max address, default is 254",,
UI,,326,408,1,int8,1,Low byte,R,"Show the size of E2 chip. 0 = 24c02, 1 = 24c08/24c16.",,
UI,,327,409,1,int8,1,Low byte,W/R,"Assign the timer to be used for which feature. 0 = period timer, 1 = rotation timer,
2 = interlock, 3 = PWM timer.",,
UI,,349,410,1,int8,1,Low byte,W/R,"Clock, year",,
UI,,350,411,1,int8,1,Low byte,W/R,"Clock,month",,
UI,,351,412,1,int8,1,Low byte,W/R,"Clock,week",,
UI,,352,413,1,int8,1,Low byte,W/R,"Clock,day",,
UI,,353,414,1,int8,1,Low byte,W/R,"clock, hours",,
UI,,354,415,1,int8,1,Low byte,W/R,"clock,minutes",,
UI,,355,416,1,int8,1,Low byte,W/R,"clock,seconds",,
UI,,356,417,1,int8,1,Low byte,W/R,"alarm,not used now",,
UI,,357,418,1,int8,1,Low byte,W/R,"work day,wake time hour",,
UI,,358,419,1,int8,1,Low byte,W/R,"work day,wake time minutes",,
UI,,359,420,1,int8,1,Low byte,W/R,"work day,away time,hour",,
UI,,360,421,1,int8,1,Low byte,W/R,"work day,away time,minute",,
UI,,361,422,1,int8,1,Low byte,W/R,"work day,home time,hour",,
UI,,362,423,1,int8,1,Low byte,W/R,"work day,home time,minute",,
UI,,363,424,1,int8,1,Low byte,W/R,"work day,sleep time,hour",,
UI,,364,425,1,int8,1,Low byte,W/R,"work day,sleep time,minute",,
UI,,365,426,1,int8,1,Low byte,W/R,"weekend day,wake time hour",,
UI,,366,427,1,int8,1,Low byte,W/R,"weekend day,wake time minutes",,
UI,,367,428,1,int8,1,Low byte,W/R,"weekend,away time,hour",,
UI,,368,429,1,int8,1,Low byte,W/R,"weekend,away time,minute",,
UI,,369,430,1,int8,1,Low byte,W/R,"weekend,home time,hour",,
UI,,370,431,1,int8,1,Low byte,W/R,"weekend,home time,minute",,
UI,,371,432,1,int8,1,Low byte,W/R,"weekend,sleep time,hour",,
UI,,372,433,1,int8,1,Low byte,W/R,"weekend,sleep time,minute",,
UI,,373,434,1,int8,1,Low byte,W/R,"LCD turn off, 0 = turn off, 1 = normal",,
UI,,374,435,2,int16,1,Full,W/R,User name. line 1:characters 1 & 2,,
UI,,375,436,2,int16,1,Full,W/R,User name. line 1:characters 3 & 4,,
UI,,376,437,2,int16,1,Full,W/R,User name. line 1:characters 5 & 6,,
UI,,377,438,2,int16,1,Full,W/R,User name. line 1:characters 7 & 8,,
UI,,378,439,2,int16,1,Full,W/R,User name. line 2:characters 1 & 2,,
UI,,379,440,2,int16,1,Full,W/R,User name. line 2:characters 3 & 4,,
UI,,380,441,2,int16,1,Full,W/R,User name. line 2:characters 5 & 6,,
UI,,381,442,2,int16,1,Full,W/R,User name. line 2:characters 7 & 8,,
UI,,382,443,2,int16,1,Full,W/R,Internal sensor name. line 1:characters 1 & 2,,
UI,,383,444,2,int16,1,Full,W/R,Internal sensor name. line 1:characters 3 & 4,,
UI,,384,445,2,int16,1,Full,W/R,Internal sensor name. line 1:characters 5 & 6,,
UI,,385,446,2,int16,1,Full,W/R,Internal sensor name. line 1:characters 7 & 8,,
UI,,386,447,2,int16,1,Full,W/R,Input 1 user name. line 1:characters 1 & 2,,
UI,,387,448,2,int16,1,Full,W/R,Input 1 user name. line 1:characters 3 & 4,,
UI,,388,449,2,int16,1,Full,W/R,Input 1 user name. line 1:characters 5 & 6,,
UI,,389,450,2,int16,1,Full,W/R,Input 1 user name. line 1:characters 7 & 8,,
UI,,390,451,2,int16,1,Full,W/R,Input 2 user name. line 1:characters 1 & 2,,
UI,,391,452,2,int16,1,Full,W/R,Input 2 user name. line 1:characters 3 & 4,,
UI,,392,453,2,int16,1,Full,W/R,Input 2 user name. line 1:characters 5 & 6,,
UI,,393,454,2,int16,1,Full,W/R,Input 2 user name. line 1:characters 7 & 8,,
UI,,394,455,2,int16,1,Full,W/R,Input 3 user name. line 1:characters 1 & 2,,
UI,,395,456,2,int16,1,Full,W/R,Input 3 user name. line 1:characters 3 & 4,,
UI,,396,457,2,int16,1,Full,W/R,Input 3 user name. line 1:characters 5 & 6,,
UI,,397,458,2,int16,1,Full,W/R,Input 3 user name. line 1:characters 7 & 8,,
UI,,398,459,2,int16,1,Full,W/R,Input 4 user name. line 1:characters 1 & 2,,
UI,,399,460,2,int16,1,Full,W/R,Input 4 user name. line 1:characters 3 & 4,,
UI,,400,461,2,int16,1,Full,W/R,Input 4 user name. line 1:characters 5 & 6,,
UI,,401,462,2,int16,1,Full,W/R,Input 4 user name. line 1:characters 7 & 8,,
UI,,402,463,2,int16,1,Full,W/R,Input 5 user name. line 1:characters 1 & 2,,
UI,,403,464,2,int16,1,Full,W/R,Input 5 user name. line 1:characters 3 & 4,,
UI,,404,465,2,int16,1,Full,W/R,Input 5 user name. line 1:characters 5 & 6,,
UI,,405,466,2,int16,1,Full,W/R,Input 5 user name. line 1:characters 7 & 8,,
UI,,406,467,2,int16,1,Full,W/R,Input 6 user name. line 1:characters 1 & 2,,
UI,,407,468,2,int16,1,Full,W/R,Input 6 user name. line 1:characters 3 & 4,,
UI,,408,469,2,int16,1,Full,W/R,Input 6 user name. line 1:characters 5 & 6,,
UI,,409,470,2,int16,1,Full,W/R,Input 6 user name. line 1:characters 7 & 8,,
UI,,410,471,2,int16,1,Full,W/R,Input 7 user name. line 1:characters 1 & 2,,
UI,,411,472,2,int16,1,Full,W/R,Input 7 user name. line 1:characters 3 & 4,,
UI,,412,473,2,int16,1,Full,W/R,Input 7 user name. line 1:characters 5 & 6,,
UI,,413,474,2,int16,1,Full,W/R,Input 7 user name. line 1:characters 7 & 8,,
UI,,414,475,2,int16,1,Full,W/R,Input 8 user name. line 1:characters 1 & 2,,
UI,,415,476,2,int16,1,Full,W/R,Input 8 user name. line 1:characters 3 & 4,,
UI,,416,477,2,int16,1,Full,W/R,Input 8 user name. line 1:characters 5 & 6,,
UI,,417,478,2,int16,1,Full,W/R,Input 8 user name. line 1:characters 7 & 8,,
UI,,418,479,2,int16,,Full,W/R,Output 1 user name. line 1:characters 1 & 2,,
UI,,419,480,2,int16,,Full,W/R,Output 1 user name. line 1:characters 3 & 4,,
UI,,420,481,2,int16,,Full,W/R,Output 1 user name. line 1:characters 5 & 6,,
UI,,421,482,2,int16,,Full,W/R,Output 1 user name. line 1:characters 7 & 8,,
UI,,422,483,2,int16,,Full,W/R,Output 2 user name. line 1:characters 1 & 2,,
UI,,423,484,2,int16,,Full,W/R,Output 2 user name. line 1:characters 3 & 4,,
UI,,424,485,2,int16,,Full,W/R,Output 2 user name. line 1:characters 5 & 6,,
UI,,425,486,2,int16,,Full,W/R,Output 2 user name. line 1:characters 7 & 8,,
UI,,426,487,2,int16,,Full,W/R,Output 3 user name. line 1:characters 1 & 2,,
UI,,427,488,2,int16,,Full,W/R,Output 3 user name. line 1:characters 3 & 4,,
UI,,428,489,2,int16,,Full,W/R,Output 3 user name. line 1:characters 5 & 6,,
UI,,429,490,2,int16,,Full,W/R,Output 3 user name. line 1:characters 7 & 8,,
UI,,430,491,2,int16,,Full,W/R,Output 4 user name. line 1:characters 1 & 2,,
UI,,431,492,2,int16,,Full,W/R,Output 4 user name. line 1:characters 3 & 4,,
UI,,432,493,2,int16,,Full,W/R,Output 4 user name. line 1:characters 5 & 6,,
UI,,433,494,2,int16,,Full,W/R,Output 4 user name. line 1:characters 7 & 8,,
UI,,434,495,2,int16,,Full,W/R,Output 5 user name. line 1:characters 1 & 2,,
UI,,435,496,2,int16,,Full,W/R,Output 5 user name. line 1:characters 3 & 4,,
UI,,436,497,2,int16,,Full,W/R,Output 5 user name. line 1:characters 5 & 6,,
UI,,437,498,2,int16,,Full,W/R,Output 5 user name. line 1:characters 7 & 8,,
UI,,438,499,2,int16,,Full,W/R,Output 6 user name. line 1:characters 1 & 2,,
UI,,439,500,2,int16,,Full,W/R,Output 6 user name. line 1:characters 3 & 4,,
UI,,440,501,2,int16,,Full,W/R,Output 6 user name. line 1:characters 5 & 6,,
UI,,441,502,2,int16,,Full,W/R,Output 6 user name. line 1:characters 7 & 8,,
UI,,442,503,2,int16,,Full,W/R,Output 7 user name. line 1:characters 1 & 2,,
UI,,443,504,2,int16,,Full,W/R,Output 7 user name. line 1:characters 3 & 4,,
UI,,444,505,2,int16,,Full,W/R,Output 7 user name. line 1:characters 5 & 6,,
UI,,445,506,2,int16,,Full,W/R,Output 7 user name. line 1:characters 7 & 8,,
UI,,,507,2,int16,,Full,W/R,Output 8 user name. line 1:characters 1 & 2,,
UI,,,508,2,int16,,Full,W/R,Output 8 user name. line 1:characters 3 & 4,,
UI,,,509,2,int16,,Full,W/R,Output 8 user name. line 1:characters 5 & 6,,
UI,,,510,2,int16,,Full,W/R,Output 8 user name. line 1:characters 7 & 8,,
UI,,,511,2,int16,,Full,W/R,Schedule_B  character 1,,
UI,,,512,2,int16,,Full,W/R,Schedule_B  character 2,,
UI,,,513,2,int16,,Full,W/R,Schedule_B  character 3,,
UI,,,514,2,int16,,Full,W/R,Schedule_B  character 4,,
UI,,,515,2,int16,,Full,W/R,Schedule_C  character 1,,
UI,,,516,2,int16,,Full,W/R,Schedule_C  character 2,,
UI,,,517,2,int16,,Full,W/R,Schedule_C  character 3,,
UI,,,518,2,int16,,Full,W/R,Schedule_C  character 4,,
UI,,,519,2,int16,,Full,W/R,Schedule_D  character 1,,
UI,,,520,2,int16,,Full,W/R,Schedule_D  character 2,,
UI,,,521,2,int16,,Full,W/R,Schedule_D  character 3,,
UI,,,522,2,int16,,Full,W/R,Schedule_D  character 4,,
UI,,,523,2,int16,,Full,W/R,Wall character 1,,
UI,,,524,2,int16,,Full,W/R,Wall character 2,,
UI,,,525,2,int16,,Full,W/R,Wall character 3,,
UI,,,526,2,int16,,Full,W/R,Wall character 4,,
UI,,,527,2,int16,,Full,W/R,Ceiling character 1,,
UI,,,528,2,int16,,Full,W/R,Ceiling character 2,,
UI,,,529,2,int16,,Full,W/R,Ceiling character 3,,
UI,,,530,2,int16,,Full,W/R,Ceiling character 4,,
UI,,,531,2,int16,,Full,W/R,Outdoor character 1,,
UI,,,532,2,int16,,Full,W/R,Outdoor character 2,,
UI,,,533,2,int16,,Full,W/R,Outdoor character 3,,
UI,,,534,2,int16,,Full,W/R,Outdoor character 4,,
UI,,,535,2,int16,,Full,W/R,Average character 1,,
UI,,,536,2,int16,,Full,W/R,Average character 2,,
UI,,,537,2,int16,,Full,W/R,Average character 3,,
UI,,,538,2,int16,,Full,W/R,Average character 4,,
UI,,,539,1,int8,1,Low byte,W/R,"LCD screen1,select which information will display on LCD,range0 to 12 ",,
UI,,,540,1,int8,1,Low byte,W/R,"LCD screen2,select which information will display on LCD,range0 to 12 ",,
UI,,543,541,1,int8,1,Low byte,W/R,Demand response flag 0: disable 1:yes 2:no,,
UI,,,542,1,int8,1,Low byte,W/R,"(reserved)All registers except fan speed and manual input are not writable.0 = lock,1 = no lock",,
RESERVED,,340,543,1,int8,1,Low byte,,Enable/disable PIR correspond 1/0 respectively.,,
RESERVED,,521,544,,,,,,spaere,,
RESERVED,,522,545,,,,,,Reserve for factory test,,
RESERVED,,527,546,,,,,,Reserve for 3rd calibration capacitance value (future),,
RESERVED,,528,547,,,,,,Reserve for 3rd calibration humidity value (future),,
RESERVED,,529,548,,,,,,Reserve for 4th calibration capacitance value (future),,
RESERVED,,530,549,,,,,,Reserve for 4th calibration humidity value (future),,
RESERVED,,531,550,,,,,,Reserve for 5th calibration capacitance value (future),,
RESERVED,,532,551,,,,,,Reserve for 5th calibration humidity value (future),,
RESERVED,,533,552,,,,,,Reserve for 6th calibration capacitance value (future),,
RESERVED,,534,553,,,,,,Reserve for 6th calibration humidity value (future),,
RESERVED,,535,554,,,,,,Reserve for 7th calibration capacitance value (future),,
RESERVED,,536,555,,,,,,Reserve for 7th calibration humidity value (future),,
RESERVED,,537,556,,,,,,Reserve for 8th calibration capacitance value (future),,
RESERVED,,538,557,,,,,,Reserve for 8th calibration humidity value (future),,
RESERVED,,539,558,,,,,,Reserve for 9th calibration capacitance value (future),,
RESERVED,,540,559,,,,,,Reserve for 9th calibration humidity value (future),,
RESERVED,,541,560,,,,,,Reserve for 10th calibration capacitance value (future),,
RESERVED,,542,561,,,,,,Reserve for 10th calibration humidity value (future),,
UI,,,562,1,int8,1,Low byte,W/R,"(TBD)humdity sensor factory calibration data write lockA(only when A = 12 and B = 34, can write  factory data )",,
UI,,,563,1,int8,1,Low byte,W/R,(TBD)humdity sensor factory calibration data write lockB(prevent user do wrong operation to change calibration data ),,
UI,,,564,1,int8,1,Low byte,W/R,"lcd rotate enable, decide how many items will be shown on rotate mode,range0 to 21.Display item select:0:none 1:temperature 2:setpoint 3:AI1 4:AI2 5:AI3 6:AI4 7:AI5 8:AI6 9:AI7 10:AI8 11:MODE 12:USER INFO 13:CLOCK DATE 14:CLOCK TIME (TBD:OUTPUT)",,
UI,,,565,1,int8,1,Low byte,W/R,"schedule enable/disable control bit.  0 = disable  1 = enable, default: enable",,
UI,,,566 - 583 ,18,int8,1,Low byte,W/R,decide which item will be shown in the display sequency.see up note,,
UI,,,584 - 590,7,int8,1,Low byte,W/R,decide which item will be shown as the output item.,,
OUTPUT TABLE,,,591,1,int8,1,Low byte,W/R,"PWM output range in COAST mode. 0 = CLOSE, 1 = OPEN, 2 = 0-100%, 3 = 50-100%,
4 = 0-50%. MSb 4 bits correspond to output4 and LSB 4 bits correspond to output5",,
OUTPUT TABLE,,,592,1,int8,1,Low byte,W/R,"PWM output range in COOLING1 mode. 0 = CLOSE, 1 = OPEN, 2 = 0-100%, 3 = 50-100%,
4 = 0-50%. MSb 4 bits correspond to output4 and LSB 4 bits correspond to output5",,
